Feature ID	Taxon	Consensus
05d7d7145b7fb932e49cd17a55814db5	Unassigned	1.0
102e2e447395673bf8c4ca98900e8502	Unassigned	1.0
1a1af578d05240a58afe8334648eb70f	Unassigned	1.0
37f5e2e4e67164d416181bb86deae98a	Unassigned	1.0
398c38637a7c07e5ab6e0b383fb47d11	Unassigned	1.0
3b54c21dc458aad6bef0b895a008a999	Unassigned	1.0
3fd512ab2543a51a0f6d3e3f5ee0b799	Unassigned	1.0
4b7a9119a51ad23e913594c78bc5d0e9	Unassigned	1.0
6d83c34c7d5ac72f2cda59a12d2f98bc	k__Bacteria; p__DeinococcusThermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans	1.0
75fbfefbdb3937860340ac76fd31068e	Unassigned	1.0
7acd47b748c9f1cd32e0a6e17e6d253e	Unassigned	1.0
7e080aec24208d91e7a40c1938f2c807	Unassigned	1.0
9b0828d33517a6fc6957e9e9a1d5156f	Unassigned	1.0
9c0a33f32dcd2db6c61d1d60d2c3a3d2	Unassigned	1.0
9d7393d1cc1a683bf6257db3c38311ed	Unassigned	1.0
9e31be0b73920efb4927da03660c302e	Unassigned	1.0
9fde705fd377f224bf31d81a0d9a4ff4	Unassigned	1.0
AB078819	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propionibacterium; s__Propionibacterium_acnes	0.8
AB976555	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_gasseri	1.0
AF414809	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_gingivalis	1.0
AF468821	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__Rhodobacter_sphaeroides	0.8
AHVT01000016	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_aureus	1.0
AJ234037	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_odontolyticus	0.875
AJ239309	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria_meningitidis	1.0
AJ577290	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_cereus	0.9
ALZP01000053	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_faecalis	0.9
